label	country	location
Thailand	Thailand	Thailand
Tianjin	China	Tianjin
Tianjing	China	Tianjin
Tibet	China	Tibet
Tongshan	China	Tongshan
Tripura	India	Tripura
Tunisia	Tunisia	Tunisia
TX	UnitedStates	Texas
Uchal	India	Uchal
United_Arab_Emirates	UnitedArabEmirates	UnitedArabEmirates
Uttar_Pradesh	India	UttarPradesh
Viet_Nam	Vietnam	Vietnam
Vietnam	Vietnam	Vietnam
Virginia	UnitedStates	Virginia
Washington	UnitedStates	Washington
Wenshan	China	Wenshan
Wenzhou	China	Wenzhou
Wuxi	China	Wuxi
Xianghai	China	Xianghai
Xiangshui	China	Xiangshui
Xigou	China	Xigou
Xinjiang	China	Xinjiang
Xuzhou	China	Xuzhou
Yancheng	China	Yancheng
Yangzhou	China	Yangzhou
Yantai	China	Yantai
YN	China	Yunnan
Yokohama	Japan	Japan
Yongcheng	China	Yongcheng
Yunnan	China	Yunnan
Yunnanbn	China	Yunnan
Yunnandh	China	Yunnan
Yunnanws	China	Yunnan
Zambia	Zambia	Zambia
ZhaLong	China	ZhaLong
Zhejiang	China	Zhejiang
Zhenjiang	China	Zhenjiang
Zibo	China	Zibo
China	China	China
Buryatiya	Russia	Russia
Buryatuya	Russia	Russia
Chany	Russia	 Russia
ChanyLake	Russia	Russia
Moscow	Russia	Russia
Russia	Russia	Russia
Siberia	Russia	Russia
SouthAfrica	SouthAfrica	SouthAfrica
Taiwan	Taiwan	Taiwan
Wales	UnitedKingdom	UnitedKingdom
Vietnam	Vietnam	Vietnam
Queensland	Australia	Australia
Tasmania	Australia	Australia
Werribee	Australia	Australia
Belgium	Belgium	Belgium
Bolivia	Bolivia	Bolivia
Sao-Paulo	Brazil	Brazil
AB	Canada	Canada
BC	Canada	Canada
British-Columbia	Canada	Canada
NB	Canada	Canada
New-Brunswick	Canada	Canada
Nova-Scotia	Canada	Canada
Santiago	Chile	Chile
Anhui-Chuzhou	China	Anhui-Chuzhou
Fukui	China	Fukui
GD-1	China	China
GD-10	China	China
GD-101	China	China
GD-104	China	China
GD-105	China	China
GD-110	China	China
GD-112	China	China
GD-114	China	China
GD-117	China	China
GD-119	China	China
GD-12	China	China
GD-120	China	China
GD-121	China	China
GD-123	China	China
GD-124	China	China
GD-125	China	China
GD-126	China	China
GD-136	China	China
GD-138	China	China
GD-139	China	China
GD-151	China	China
GD-153	China	China
GD-154	China	China
GD-155	China	China
GD-156	China	China
GD-17	China	China
